                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1934,                 4.3766,                 1.3088,                0.01499,                0.09378,                0.02499,                0.01475,                 2.1398,                    inf,                 1.1122,             0.00015876,             0.00015876,             0.00015876
                      2,                 2.2382,                 3.3995,                  1.138,                0.04354,                0.13762,                 0.0579,                0.03142,                 2.0934,                    inf,                  1.111,              0.0003218,              0.0003218,              0.0003218
                      3,                 2.2412,                  2.774,                 1.0969,                0.56449,                0.10731,                0.09544,                 0.0519,                 2.1109,                 2.5299,                 1.0835,             0.00048321,             0.00048321,             0.00048321
                      4,                 2.1016,                 2.4115,                 1.0751,                0.49659,                0.13359,                0.11037,                0.06002,                 2.0604,                 2.4453,                 1.1132,             0.00057927,             0.00057927,             0.00057927
                      5,                 2.1025,                 2.1569,                 1.0598,                 0.4725,                0.14051,                  0.134,                0.07501,                 1.9627,                  2.225,                 1.0708,             0.00057927,             0.00057927,             0.00057927
                      6,                 2.0364,                 2.0356,                 1.0488,                 0.4591,                0.17318,                0.13696,                0.07711,                 1.9564,                 2.0839,                 1.0676,             0.00057636,             0.00057636,             0.00057636
                      7,                 1.9669,                 1.9042,                 1.0407,                0.50193,                0.22668,                 0.2038,                0.12447,                 1.8966,                 1.9587,                 1.0404,             0.00057345,             0.00057345,             0.00057345
                      8,                 1.9715,                 1.8183,                  1.035,                0.60063,                0.21169,                0.20178,                0.12002,                 1.8972,                 2.0073,                 1.0361,             0.00057054,             0.00057054,             0.00057054
                      9,                 1.9293,                 1.7635,                 1.0254,                0.58074,                0.25976,                0.24129,                0.15761,                 1.8379,                 1.7306,                 1.0214,             0.00056763,             0.00056763,             0.00056763
                     10,                  1.893,                 1.6969,                 1.0175,                0.55515,                0.24761,                0.24427,                0.15123,                 1.8346,                 1.7433,                 1.0249,             0.00056472,             0.00056472,             0.00056472
                     11,                 1.8641,                  1.634,                 1.0117,                0.45425,                0.31184,                0.25577,                0.15357,                 1.8255,                 1.6409,                 1.0253,              0.0005618,              0.0005618,              0.0005618
                     12,                 1.8549,                 1.6236,                 1.0096,                0.59056,                0.32368,                 0.2976,                0.19015,                 1.7797,                 1.5885,                 1.0108,             0.00055889,             0.00055889,             0.00055889
                     13,                 1.8525,                 1.5942,                 1.0011,                0.35352,                0.31261,                0.30206,                0.19611,                 1.7538,                 1.5436,                 1.0075,             0.00055598,             0.00055598,             0.00055598
                     14,                   1.82,                 1.5531,                 1.0021,                0.49078,                0.33252,                0.27892,                0.17382,                 1.8195,                 1.6127,                 1.0191,             0.00055307,             0.00055307,             0.00055307
                     15,                 1.8118,                 1.5477,                0.99361,                0.57382,                0.29814,                 0.3101,                0.20386,                 1.7706,                 1.5394,                 1.0059,             0.00055016,             0.00055016,             0.00055016
                     16,                 1.8053,                 1.5103,                0.99394,                 0.4835,                0.33496,                0.30887,                0.19606,                  1.742,                 1.5403,                0.99897,             0.00054725,             0.00054725,             0.00054725
