                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  1.672,                 1.2393,                0.94572,                0.47372,                0.38656,                0.42514,                0.27939,                 1.6353,                 1.2448,                0.94261,             0.00049195,             0.00049195,             0.00049195
                     36,                 1.6902,                 1.2347,                0.94865,                0.50003,                 0.4216,                0.44087,                0.27609,                 1.7487,                 1.2938,                0.95789,             0.00048904,             0.00048904,             0.00048904
                     37,                 1.7033,                 1.2523,                0.94813,                0.55826,                 0.4166,                0.44382,                0.28679,                 1.6709,                 1.2532,                 0.9522,             0.00048613,             0.00048613,             0.00048613
                     38,                 1.6858,                 1.2375,                0.94812,                0.47416,                0.42321,                0.44091,                0.27868,                 1.7185,                 1.2408,                0.95874,             0.00048322,             0.00048322,             0.00048322
                     39,                 1.7036,                  1.227,                0.94851,                0.48791,                0.44331,                0.46364,                0.30106,                 1.6523,                 1.2106,                0.94937,             0.00048031,             0.00048031,             0.00048031
                     40,                 1.6665,                 1.2065,                0.94401,                0.56716,                0.45657,                0.47618,                0.31785,                 1.6729,                 1.2135,                0.94772,              0.0004774,              0.0004774,              0.0004774
                     41,                 1.6654,                 1.2112,                 0.9413,                0.53421,                0.44984,                0.47251,                0.31088,                 1.7017,                 1.2371,                0.94763,             0.00047449,             0.00047449,             0.00047449
                     42,                 1.6681,                 1.1989,                0.94024,                 0.5905,                0.45439,                0.48349,                0.31073,                 1.6758,                 1.1965,                0.94841,             0.00047158,             0.00047158,             0.00047158
                     43,                 1.6749,                 1.2037,                 0.9426,                0.56123,                0.44105,                0.48005,                0.31299,                  1.694,                 1.1994,                0.94951,             0.00046867,             0.00046867,             0.00046867
                     44,                 1.6816,                 1.1843,                0.94275,                0.68076,                0.43669,                0.49051,                0.32741,                 1.6107,                 1.1465,                0.93967,             0.00046575,             0.00046575,             0.00046575
                     45,                 1.6467,                 1.1812,                0.93815,                0.54914,                0.44254,                0.47427,                0.31649,                 1.6546,                  1.195,                0.94152,             0.00046284,             0.00046284,             0.00046284
                     46,                 1.6893,                 1.2196,                0.93764,                0.57244,                0.44033,                0.48096,                0.31101,                  1.729,                 1.1875,                0.95278,             0.00045993,             0.00045993,             0.00045993
                     47,                 1.6751,                 1.1807,                0.93784,                0.62856,                0.48044,                0.51867,                0.34247,                 1.6106,                 1.1317,                0.93505,             0.00045702,             0.00045702,             0.00045702
                     48,                  1.653,                 1.1657,                0.93653,                0.52741,                0.48631,                0.50266,                0.33183,                 1.6145,                 1.1875,                0.93932,             0.00045411,             0.00045411,             0.00045411
                     49,                 1.6443,                 1.1574,                0.93713,                0.54649,                0.46674,                0.49866,                0.31259,                 1.6913,                 1.1742,                0.95283,              0.0004512,              0.0004512,              0.0004512
                     50,                 1.6409,                 1.1497,                0.93475,                 0.6102,                0.47639,                0.51964,                0.34876,                  1.619,                 1.1079,                0.93789,             0.00044829,             0.00044829,             0.00044829
                     51,                 1.6434,                 1.1476,                0.93351,                0.59279,                0.48669,                0.51836,                 0.3439,                 1.6313,                 1.1272,                0.93211,             0.00044538,             0.00044538,             0.00044538
                     52,                 1.6374,                 1.1453,                0.93119,                0.68135,                 0.4726,                0.52289,                0.34836,                 1.6117,                 1.1446,                0.93446,             0.00044247,             0.00044247,             0.00044247
                     53,                 1.6207,                 1.1287,                0.92504,                0.61239,                0.46212,                0.51957,                0.33546,                 1.6121,                 1.1506,                0.93372,             0.00043956,             0.00043956,             0.00043956
                     54,                 1.6026,                  1.116,                0.92925,                0.60909,                0.45688,                 0.5178,                0.34718,                 1.5918,                 1.1353,                0.93001,             0.00043665,             0.00043665,             0.00043665
                     55,                  1.594,                 1.1086,                0.92412,                0.61208,                0.46929,                0.51899,                0.34521,                 1.6277,                 1.1564,                0.93744,             0.00043374,             0.00043374,             0.00043374
                     56,                 1.6007,                 1.1098,                0.92965,                0.60529,                 0.5079,                0.54042,                0.34651,                 1.7007,                 1.1241,                0.94518,             0.00043083,             0.00043083,             0.00043083
                     57,                 1.6245,                 1.1237,                0.93533,                0.59324,                0.50457,                0.54312,                0.36807,                 1.5917,                 1.1293,                 0.9295,             0.00042792,             0.00042792,             0.00042792
                     58,                 1.6021,                 1.0964,                0.92903,                0.62727,                0.49688,                0.54551,                0.37298,                 1.5802,                 1.0862,                0.92848,             0.00042501,             0.00042501,             0.00042501
