                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.6096,                 1.1983,                0.94867,                0.62621,                0.47564,                0.53798,                0.36081,                 1.6003,                 1.2131,                0.96601,              0.0003959,              0.0003959,              0.0003959
                     36,                 1.6234,                 1.2009,                0.95213,                0.59034,                0.50625,                0.53192,                0.36722,                 1.5813,                  1.217,                0.95694,             0.00039008,             0.00039008,             0.00039008
                     37,                 1.6388,                 1.1996,                0.95334,                0.60346,                0.51449,                0.53724,                0.37285,                 1.5729,                  1.185,                0.95867,             0.00038426,             0.00038426,             0.00038426
                     38,                 1.6316,                  1.204,                0.95267,                0.61922,                0.52916,                0.54875,                0.37049,                 1.6413,                 1.1785,                 0.9776,             0.00037844,             0.00037844,             0.00037844
                     39,                 1.6366,                 1.1935,                0.95208,                0.59639,                 0.5105,                0.56108,                0.37197,                 1.6343,                 1.1859,                 0.9697,             0.00037262,             0.00037262,             0.00037262
                     40,                 1.5989,                 1.1703,                0.94944,                0.55932,                0.55933,                0.56502,                0.39053,                 1.5732,                 1.1636,                0.96018,             0.00036679,             0.00036679,             0.00036679
                     41,                 1.5875,                 1.1722,                0.94642,                0.58883,                0.55117,                0.56435,                 0.3931,                 1.5811,                 1.1426,                0.95846,             0.00036097,             0.00036097,             0.00036097
                     42,                 1.5737,                 1.1541,                 0.9382,                0.60447,                 0.5406,                0.57269,                0.39633,                 1.5597,                 1.1277,                0.95679,             0.00035515,             0.00035515,             0.00035515
                     43,                 1.6033,                 1.1695,                0.94412,                0.65234,                0.53381,                0.56762,                 0.3881,                 1.5979,                 1.1528,                0.96214,             0.00034933,             0.00034933,             0.00034933
                     44,                 1.6129,                 1.1477,                0.94893,                0.77679,                0.48498,                0.57172,                0.39612,                 1.5445,                 1.1234,                0.95419,             0.00034351,             0.00034351,             0.00034351
                     45,                 1.5842,                 1.1428,                0.93941,                0.61112,                0.55537,                0.56717,                0.39018,                 1.5866,                 1.1093,                0.96437,             0.00033769,             0.00033769,             0.00033769
                     46,                 1.6043,                 1.1708,                0.94117,                0.64292,                 0.5366,                 0.5879,                0.39427,                 1.6004,                 1.1285,                0.96206,             0.00033187,             0.00033187,             0.00033187
                     47,                 1.6064,                 1.1413,                   0.94,                0.63914,                0.55529,                0.59065,                0.40058,                 1.5655,                 1.0998,                0.95367,             0.00032605,             0.00032605,             0.00032605
                     48,                 1.5732,                  1.123,                0.93772,                0.63785,                0.56656,                0.60046,                0.40387,                 1.5369,                 1.0886,                0.95097,             0.00032022,             0.00032022,             0.00032022
                     49,                 1.5698,                 1.1205,                0.93978,                 0.6484,                0.56778,                0.61088,                0.40379,                 1.5876,                 1.0982,                0.96034,              0.0003144,              0.0003144,              0.0003144
                     50,                 1.5753,                 1.1161,                0.93643,                0.66541,                0.56855,                0.61777,                0.43245,                 1.5285,                 1.0796,                0.95063,             0.00030858,             0.00030858,             0.00030858
                     51,                 1.5635,                  1.112,                0.93473,                0.67516,                0.55695,                0.61741,                0.42761,                 1.5143,                 1.0742,                0.94382,             0.00030276,             0.00030276,             0.00030276
                     52,                 1.5656,                 1.1083,                0.93515,                0.72084,                0.54768,                0.61069,                0.42893,                 1.5171,                 1.1115,                 0.9448,             0.00029694,             0.00029694,             0.00029694
                     53,                  1.552,                  1.089,                0.93275,                0.70817,                0.57559,                0.63087,                0.43965,                 1.5167,                 1.0612,                0.94972,             0.00029112,             0.00029112,             0.00029112
                     54,                 1.5259,                 1.0793,                0.93189,                0.66046,                0.58953,                 0.6274,                0.43813,                 1.5069,                  1.048,                0.94394,              0.0002853,              0.0002853,              0.0002853
                     55,                  1.527,                 1.0728,                0.92829,                0.62334,                0.57722,                0.61891,                0.42816,                 1.5104,                 1.0922,                0.94225,             0.00027948,             0.00027948,             0.00027948
                     56,                 1.5335,                 1.0703,                0.93443,                0.69388,                0.58746,                0.63752,                0.43834,                 1.5679,                 1.0603,                0.95652,             0.00027366,             0.00027366,             0.00027366
