                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1571,                 4.4479,                 1.3055,                 0.0155,                0.04038,                0.01903,                0.01105,                 2.1524,                 4.3336,                 1.0887,             0.00015876,             0.00015876,             0.00015876
                      2,                 2.2624,                   3.57,                 1.1567,                0.03038,                0.12561,                0.05306,                0.02837,                 2.2249,                 3.3551,                 1.1183,              0.0003202,              0.0003202,              0.0003202
                      3,                 2.3294,                 2.9451,                 1.1108,                0.77763,                0.07855,                0.08004,                0.04462,                 2.2234,                 2.7573,                 1.0807,             0.00047838,             0.00047838,             0.00047838
                      4,                 2.1878,                 2.6033,                 1.0776,                0.59688,                0.10076,                0.09348,                0.05058,                  2.151,                 2.6017,                 1.0696,             0.00057054,             0.00057054,             0.00057054
                      5,                 2.1802,                 2.2688,                 1.0572,                0.68011,                0.11641,                0.11517,                0.06174,                 2.1077,                 2.2446,                 1.0587,             0.00057054,             0.00057054,             0.00057054
                      6,                 2.1408,                 2.1386,                 1.0517,                0.52784,                 0.1336,                0.12023,                0.06747,                 2.0822,                 2.2869,                 1.0306,             0.00056472,             0.00056472,             0.00056472
                      7,                 2.0821,                 1.9955,                 1.0394,                0.49175,                0.16106,                0.14994,                0.08733,                 2.0279,                 2.1882,                 1.0226,             0.00055889,             0.00055889,             0.00055889
                      8,                  2.048,                 1.8794,                 1.0274,                0.63519,                0.15985,                0.15331,                0.08859,                 1.9915,                 1.8845,                 1.0221,             0.00055307,             0.00055307,             0.00055307
                      9,                 2.0074,                 1.8141,                 1.0204,                0.51826,                0.20199,                0.17757,                0.10665,                 1.9408,                 1.7503,                 1.0163,             0.00054725,             0.00054725,             0.00054725
                     10,                 1.9799,                 1.7404,                 1.0136,                0.53889,                0.19083,                 0.1895,                0.11121,                 1.9522,                 1.8183,                 1.0111,             0.00054143,             0.00054143,             0.00054143
                     11,                 1.9343,                 1.6763,                 1.0062,                0.40077,                0.21611,                0.20628,                0.12027,                 1.9352,                 1.6624,                 1.0035,             0.00053561,             0.00053561,             0.00053561
                     12,                 1.9405,                 1.6697,                 1.0078,                0.55581,                0.24531,                0.23377,                0.13574,                 1.9401,                 1.6638,                 1.0063,             0.00052979,             0.00052979,             0.00052979
                     13,                 1.9201,                 1.6346,                0.99395,                0.53932,                0.21151,                0.24865,                0.14973,                 1.9281,                 1.7424,                  1.002,             0.00052397,             0.00052397,             0.00052397
                     14,                 1.8906,                 1.6001,                0.99508,                0.58652,                 0.2462,                0.23139,                0.13693,                 1.8805,                  1.641,                 0.9883,             0.00051815,             0.00051815,             0.00051815
                     15,                 1.8888,                  1.578,                0.99258,                0.50697,                0.28277,                 0.2799,                0.17277,                 1.8467,                 1.5165,                0.98706,             0.00051232,             0.00051232,             0.00051232
                     16,                 1.8865,                 1.5416,                0.99241,                0.52259,                0.26608,                0.28096,                0.16411,                 1.9242,                  1.526,                0.99921,              0.0005065,              0.0005065,              0.0005065
                     17,                 1.8353,                 1.4915,                0.98049,                 0.4936,                0.28376,                 0.2878,                0.18418,                 1.7987,                 1.4623,                0.97698,             0.00050068,             0.00050068,             0.00050068
                     18,                 1.8342,                 1.5015,                0.98054,                0.51577,                0.26509,                0.27365,                0.17093,                  1.779,                 1.5114,                0.97564,             0.00049486,             0.00049486,             0.00049486
                     19,                 1.8149,                 1.4695,                0.97516,                  0.407,                0.29457,                 0.2949,                0.18765,                 1.7678,                 1.4817,                0.96981,             0.00048904,             0.00048904,             0.00048904
                     20,                 1.8178,                 1.4544,                0.97211,                0.53019,                0.30213,                0.31893,                0.19957,                  1.836,                 1.4429,                 0.9824,             0.00048322,             0.00048322,             0.00048322
                     21,                 1.8286,                 1.4513,                0.97236,                0.53295,                0.31017,                0.33126,                 0.2142,                 1.7886,                 1.3981,                0.97093,              0.0004774,              0.0004774,              0.0004774
                     22,                 1.8216,                 1.4408,                0.97422,                0.55017,                0.29741,                0.32181,                0.19292,                  1.848,                 1.4607,                 0.9761,             0.00047158,             0.00047158,             0.00047158
                     23,                 1.7911,                 1.3973,                0.97356,                0.54841,                0.31519,                0.34382,                0.22197,                 1.7549,                 1.3899,                0.96721,             0.00046575,             0.00046575,             0.00046575
                     24,                 1.7903,                 1.3901,                0.96546,                0.46749,                0.33041,                0.35556,                0.22056,                 1.7347,                 1.3635,                0.96364,             0.00045993,             0.00045993,             0.00045993
                     25,                 1.7955,                 1.3991,                0.97101,                0.38838,                0.35654,                0.34367,                0.22952,                 1.7393,                 1.3555,                0.95817,             0.00045411,             0.00045411,             0.00045411
